doc_no,item_seq,sys_no,author,title,edition,imprint,publication_date,citation,barcode,class,collection_code,call_number_key,primary_call_no_desc,item_desc,internal_note,item_status,event_id,event_type,event_category,event_category_label,event_date,event_hour,event_minute,event_day_part,event_month,event_year,event_year_month,patron_status,patron_type
3904110,10,3896822,"Dolzer, Rudolf.",Principles of international investment law /,,"Oxford ; New York : Oxford University Press, 2008.",2008,"Dolzer, Rudolf. ÊPrinciples of international investment law / Rudolf Dolzer and Christoph Schreuer. ÊOxford ; New York : Oxford University Press, 2008. Êxliii, 433 p. ; 24 cm. [003896822]",L00505755R,International Investment Law (LAW 752),LRESV,k#3830 d65 2008,K3830 .D65 2008,,,01,18099,Simple Loan,02,Loans,"Aug 22, 2011",10,00,Morning,08,2011,2011/08,Graduate Student,Grad - Law
783052,30,783052,,Fugitive slaves and American courts :,,"New York : Garland Pub., 1988.",1988,"Fugitive slaves and American courts : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland Pub., 1988. Ê4 v. : ill. ; 23 cm. [000783052]",D00380090K,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 2,KF4545.S5 A5 1988 ser.2,v.4 c.1,,01,14026,Remote Storage Loan,02,Loans,"Aug 27, 2012",11,37,Morning,08,2012,2012/08,Dummy,Other - Miscellanous
783057,20,783057,,"Free Blacks, slaves, and slaveowners in civil and criminal courts :",,"New York : Garland, 1988.",1988,"Free Blacks, slaves, and slaveowners in civil and criminal courts : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland, 1988. Ê2 v. ; 23 cm. [000783057]",D00487107R,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 6,KF4545.S5 A5 1988 ser.6,v.2 c.1,,01,10893,Transfer Loan,02,Loans,"Aug 25, 2012",11,35,Morning,08,2012,2012/08,Dummy,Other - Miscellanous
783057,20,783057,,"Free Blacks, slaves, and slaveowners in civil and criminal courts :",,"New York : Garland, 1988.",1988,"Free Blacks, slaves, and slaveowners in civil and criminal courts : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland, 1988. Ê2 v. ; 23 cm. [000783057]",D00487107R,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 6,KF4545.S5 A5 1988 ser.6,v.2 c.1,,01,13977,Simple Loan,02,Loans,"Aug 27, 2012",11,35,Morning,08,2012,2012/08,Law Faculty,Staff - General
783057,10,783057,,"Free Blacks, slaves, and slaveowners in civil and criminal courts :",,"New York : Garland, 1988.",1988,"Free Blacks, slaves, and slaveowners in civil and criminal courts : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland, 1988. Ê2 v. ; 23 cm. [000783057]",D00480127M,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 6,KF4545.S5 A5 1988 ser.6,v.1 c.1,,01,10892,Transfer Loan,02,Loans,"Aug 25, 2012",11,35,Morning,08,2012,2012/08,Dummy,Other - Miscellanous
3451134,10,3428484,"Gallacher, Ian, 1956-",A form and style manual for lawyers /,,"Durham, N.C. : Carolina Academic Press, c2005.",2005,"Gallacher, Ian, 1956- ÊA form and style manual for lawyers / Ian Gallacher. ÊDurham, N.C. : Carolina Academic Press, c2005. Êxvi, 198 p. : ill. ; 22 cm. [003428484]",L00461789Z,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 g35 2005",KF250 .G35 2005,,,01,13955,Simple Loan,02,Loans,"Aug 23, 2010",12,35,Morning,08,2010,2010/08,Graduate Student,Grad - Law
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,2712,Simple Loan,02,Loans,"Mar 31, 2011",15,13,Noon,03,2011,2011/03,Graduate Student,Grad - Law
2383961,20,2383961,"Dwyer, John P.",Property law and policy :,,"Westbury, N.Y. : Foundation Press, 1998.",1998,"Dwyer, John P. ÊProperty law and policy : a comparative institutional perspective / by John P. Dwyer, Peter S. Menell. ÊWestbury, N.Y. : Foundation Press, 1998. Êxli, 1076 p. : ill. ; 26 cm. [002383961]",L00522004D,Property (LAW 170),LRESV,"kf""560 d93 1998",KF560 .D93 1998,c.2,,12,40466,Simple Loan,02,Loans,"Sep 22, 2011",12,30,Morning,09,2011,2011/09,Graduate Student,Grad - Law
2883860,20,2883860,,Judicial cases concerning American slavery and the Negro /,,"Buffalo, N.Y. : William S. Hein, 1998.",1998,"Judicial cases concerning American slavery and the Negro / edited by Helen Tunnicliff Catterall. ÊBuffalo, N.Y. : William S. Hein, 1998. Ê5 v. ; 24 cm. [002883860]",L00400720D,Law of Slavery (LAW 794),LRESV,kf#4545 s5 j83 1998,KF4545.S5 J83 1998,v.2 c.1,,12,37776,Simple Loan,02,Loans,"Dec 12, 2012",14,57,Noon,12,2012,2012/12,Graduate Student,Grad - Law
4053647,20,4053637,,Presidential power stories /,,"New York : Foundation Press ; [St. Paul, Minn.] : Thomson/West, 2009.",2009,"Presidential power stories / edited by Christopher H. Schroeder, Curtis A. Bradley. ÊNew York : Foundation Press ; [St. Paul, Minn.] : Thomson/West, 2009. Êvii, 491 p. ; 26 cm. [004053637]",L00509114K,Constitutional Law II (LAW 518),LRESV,kf#5053 p735 2009,KF5053 .P735 2009,,,01,46732,Simple Loan,02,Loans,"Nov 16, 2012",14,47,Noon,11,2012,2012/11,Graduate Student,Grad - Law
1989521,30,1989521,"Harr, Jonathan.",A civil action /,1st ed.,"New York : Random House, c1995.",1995,"Harr, Jonathan. ÊA civil action / by Jonathan Harr. ÊNew York : Random House, c1995. Ê500 p. : map ; 24 cm. [001989521]",L00292505N,Mass Torts (LAW 579),LRESV,"kf""228 a7 h37 1995",KF228.A7 H37 1995,c.3,,01,26159,Transfer Loan,02,Loans,"Jun 9, 2005",12,30,Morning,06,2005,2005/06,Dummy,Other - Miscellanous
1989521,30,1989521,"Harr, Jonathan.",A civil action /,1st ed.,"New York : Random House, c1995.",1995,"Harr, Jonathan. ÊA civil action / by Jonathan Harr. ÊNew York : Random House, c1995. Ê500 p. : map ; 24 cm. [001989521]",L00292505N,Mass Torts (LAW 579),LRESV,"kf""228 a7 h37 1995",KF228.A7 H37 1995,c.3,,01,22488,Simple Loan,02,Loans,"Aug 17, 2009",12,01,Morning,08,2009,2009/08,Graduate Student,Grad - Law
3510330,10,3488237,"Devereaux, Charan.",Case studies in US trade negotiation /,,"Washington, DC : Institute for International Economics, c2006.",2006,"Devereaux, Charan. ÊCase studies in US trade negotiation / Charan Deveraux, Robert Z. Lawrence, Michael D. Watkins. ÊWashington, DC : Institute for International Economics, c2006. Ê2 v. : ill. ; 23 cm. [003488237]",L00500588Q,International Trade Law (LAW 361),LRESV,hf#1455 d49 2006,HF1455 .D49 2006,v.1,,12,37349,Simple Loan,02,Loans,"Sep 3, 2012",08,47,Morning,09,2012,2012/09,Graduate Student,Grad - Law
3904110,10,3896822,"Dolzer, Rudolf.",Principles of international investment law /,,"Oxford ; New York : Oxford University Press, 2008.",2008,"Dolzer, Rudolf. ÊPrinciples of international investment law / Rudolf Dolzer and Christoph Schreuer. ÊOxford ; New York : Oxford University Press, 2008. Êxliii, 433 p. ; 24 cm. [003896822]",L00505755R,International Investment Law (LAW 752),LRESV,k#3830 d65 2008,K3830 .D65 2008,,,01,29375,Simple Loan,02,Loans,"Nov 2, 2008",19,39,Evening,11,2008,2008/11,Graduate Student,Grad - Law
4317340,920,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491832R,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.11,,12,827,Simple Loan,02,Loans,"Oct 17, 2010",14,51,Noon,10,2010,2010/10,Graduate Student,Grad - Law
4317340,920,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491832R,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.11,,12,37186,Simple Loan,02,Loans,"Oct 23, 2011",14,04,Noon,10,2011,2011/10,Graduate Student,Grad - Law
783057,20,783057,,"Free Blacks, slaves, and slaveowners in civil and criminal courts :",,"New York : Garland, 1988.",1988,"Free Blacks, slaves, and slaveowners in civil and criminal courts : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland, 1988. Ê2 v. ; 23 cm. [000783057]",D00487107R,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 6,KF4545.S5 A5 1988 ser.6,v.2 c.1,,12,9241,Remote Storage Loan,02,Loans,"Dec 6, 2012",19,11,Evening,12,2012,2012/12,Dummy,Other - Miscellanous
783058,30,783058,,Southern slaves in free state courts :,,"New York : Garland, 1988.",1988,"Southern slaves in free state courts : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland, 1988. Ê3 v. ; 23 c. [000783058]",D04532333N,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 1,KF4545.S5 A5 1988 ser.1,v.1 c.1,,12,8460,Remote Storage Loan,02,Loans,"Oct 23, 2012",16,42,Noon,10,2012,2012/10,Dummy,Other - Miscellanous
2883860,40,2883860,,Judicial cases concerning American slavery and the Negro /,,"Buffalo, N.Y. : William S. Hein, 1998.",1998,"Judicial cases concerning American slavery and the Negro / edited by Helen Tunnicliff Catterall. ÊBuffalo, N.Y. : William S. Hein, 1998. Ê5 v. ; 24 cm. [002883860]",L00400722F,Law of Slavery (LAW 794),LRESV,kf#4545 s5 j83 1998,KF4545.S5 J83 1998,v.4 c.1,,01,48014,Simple Loan,02,Loans,"Sep 5, 2012",14,48,Noon,09,2012,2012/09,Graduate Student,Grad - Law
2883860,40,2883860,,Judicial cases concerning American slavery and the Negro /,,"Buffalo, N.Y. : William S. Hein, 1998.",1998,"Judicial cases concerning American slavery and the Negro / edited by Helen Tunnicliff Catterall. ÊBuffalo, N.Y. : William S. Hein, 1998. Ê5 v. ; 24 cm. [002883860]",L00400722F,Law of Slavery (LAW 794),LRESV,kf#4545 s5 j83 1998,KF4545.S5 J83 1998,v.4 c.1,,12,7593,Simple Loan,02,Loans,"Dec 6, 2012",14,11,Noon,12,2012,2012/12,Graduate Student,Grad - Law
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,46469,Simple Loan,02,Loans,"Oct 25, 2011",15,37,Noon,10,2011,2011/10,Graduate Student,Grad - Law
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,44666,Simple Loan,02,Loans,"Oct 10, 2011",14,59,Noon,10,2011,2011/10,Graduate Student,Grad - Law
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,24279,Simple Loan,02,Loans,"Feb 16, 2012",10,49,Morning,02,2012,2012/02,Graduate Student,Grad - Law
4343858,10,4343858,"Sornarajah, M.",The international law on foreign investment /,3rd ed.,"Cambridge : Cambridge University Press, 2010.",2010,"Sornarajah, M. ÊThe international law on foreign investment / M. Sornarajah. ÊCambridge : Cambridge University Press, 2010. Êxxx, 524 p. ; 26 cm. [004343858]",L00491758Y,International Investment Law (LAW 752),LRESV,k#3830 4 s67 2010,K3830.4 .S67 2010,,,01,16422,Simple Loan,02,Loans,"Aug 9, 2010",14,19,Noon,08,2010,2010/08,Graduate Student,Grad - Law
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,2415,Simple Loan,02,Loans,"Aug 29, 2011",11,02,Morning,08,2011,2011/08,Graduate Student,Grad - Law
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,22416,Simple Loan,02,Loans,"Jan 15, 2012",13,15,Noon,01,2012,2012/01,Graduate Student,Grad - General
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,41797,Simple Loan,02,Loans,"Feb 6, 2012",09,25,Morning,02,2012,2012/02,Graduate Student,Grad - Law
3510330,10,3488237,"Devereaux, Charan.",Case studies in US trade negotiation /,,"Washington, DC : Institute for International Economics, c2006.",2006,"Devereaux, Charan. ÊCase studies in US trade negotiation / Charan Deveraux, Robert Z. Lawrence, Michael D. Watkins. ÊWashington, DC : Institute for International Economics, c2006. Ê2 v. : ill. ; 23 cm. [003488237]",L00500588Q,International Trade Law (LAW 361),LRESV,hf#1455 d49 2006,HF1455 .D49 2006,v.1,,12,54593,Simple Loan,02,Loans,"Nov 19, 2012",12,56,Morning,11,2012,2012/11,Graduate Student,Grad - Law
3510330,10,3488237,"Devereaux, Charan.",Case studies in US trade negotiation /,,"Washington, DC : Institute for International Economics, c2006.",2006,"Devereaux, Charan. ÊCase studies in US trade negotiation / Charan Deveraux, Robert Z. Lawrence, Michael D. Watkins. ÊWashington, DC : Institute for International Economics, c2006. Ê2 v. : ill. ; 23 cm. [003488237]",L00500588Q,International Trade Law (LAW 361),LRESV,hf#1455 d49 2006,HF1455 .D49 2006,v.1,,12,3382,Simple Loan,02,Loans,"Aug 22, 2012",16,44,Noon,08,2012,2012/08,Graduate Student,Grad - Law
3510330,10,3488237,"Devereaux, Charan.",Case studies in US trade negotiation /,,"Washington, DC : Institute for International Economics, c2006.",2006,"Devereaux, Charan. ÊCase studies in US trade negotiation / Charan Deveraux, Robert Z. Lawrence, Michael D. Watkins. ÊWashington, DC : Institute for International Economics, c2006. Ê2 v. : ill. ; 23 cm. [003488237]",L00500588Q,International Trade Law (LAW 361),LRESV,hf#1455 d49 2006,HF1455 .D49 2006,v.1,,12,36074,Simple Loan,02,Loans,"Sep 2, 2012",13,11,Noon,09,2012,2012/09,Graduate Student,Grad - Law
3969646,10,3969518,"Shapo, Helene S., 1938-",Writing and analysis in the law /,5th ed.,"New York : Foundation Press ; [St. Paul, Minn.] : Thomson/West, c2008.",2008,"Shapo, Helene S., 1938- ÊWriting and analysis in the law / Helene S. Shapo, Marilyn R. Walter, Elizabeth Fajans. ÊNew York : Foundation Press ; [St. Paul, Minn.] : Thomson/West, c2008. Êxx, 614 p. ; 26 cm. + teacher's manual. [003969518]",L00457446U,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 s52 2008",KF250 .S52 2008,,Gift of: Patricia Speth Blackmon,12,31070,Simple Loan,02,Loans,"Nov 23, 2010",10,27,Morning,11,2010,2010/11,Graduate Student,Grad - Law
4317340,920,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491832R,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.11,,12,54933,Simple Loan,02,Loans,"Dec 9, 2011",09,51,Morning,12,2011,2011/12,Graduate Student,Grad - Law
4317340,920,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491832R,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.11,,12,4717,Simple Loan,02,Loans,"Feb 25, 2012",16,29,Noon,02,2012,2012/02,Graduate Student,Grad - Law
4317340,920,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491832R,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.11,,12,46018,Simple Loan,02,Loans,"Sep 5, 2012",09,19,Morning,09,2012,2012/09,Law Faculty,Staff - General
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,49482,Simple Loan,02,Loans,"Feb 23, 2012",14,12,Noon,02,2012,2012/02,Graduate Student,Grad - General
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,23134,Simple Loan,02,Loans,"Jan 15, 2012",17,51,Evening,01,2012,2012/01,Graduate Student,Grad - General
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,36358,Simple Loan,02,Loans,"Feb 3, 2012",15,12,Noon,02,2012,2012/02,Graduate Student,Grad - Law
